dbo,tTemp_SCCWIN10_EmpExport,21
service,tTemp_LeaveTypes,21
dbo,tTemp_COM100009404_SYN_01,19
dbo,tLOG_CloseCarryOption,16
dbo,tTemp_SCCWIN10_SYN_01,15
dbo,tTemp_WORAVUT_SYN_01,15
dbo,tEmployeeLevel,14
dbo,tBU2_New,13
dbo,tTemp_COM100012952_SYN_01,13
dbo,tTemp_COM133_SYN_01,13
dbo,tTemp_SCCWEB01_SYN_01,13
dbo,tEmployeeLevel_LeaveType,12
dbo,tLOG_BU_KeyName,12
dbo,tSYS_RegistBank,12
dbo,tAssignUserRole,10
dbo,tEmployee_Children,10
dbo,tLOG_PDF,10
dbo,tUserWebTimeCardPermission,10
dbo,tImport_Employee_MappingPreset,9
dbo,tSystem_MEventName,9
dbo,tEmployeeAbility,8
dbo,tFlagWork,8
dbo,tRequest_OT_Process,8
dbo,tRequestSystem,8
dbo,tSYSTurnOverRate,8
dbo,tSYSUserRole,8
dbo,tTax,8
dbo,tShift,7
dbo,tSSO_ResignReason,7
dbo,tSysWeekName,7
dbo,tTrainingType,7
dbo,tUserGroup,7
dbo,tUserWorkgroup,7
rosetta,Rosetta2_Operator,7
customize,tInfoExportGroup,6
dbo,tColDef_PayrollFormat,6
dbo,tSysConfig,6
dbo,tTimeInOut_RowName,6
rosetta,Rosetta2_Conditions,6
dbo,tChildren_Prefix,5
dbo,tDecorationGroup,5
dbo,tEmployeeType1,5
dbo,tImportTime_Mapping,5
dbo,tMartialStatus,5
dbo,tOTRequest_Time,5
dbo,tPENALTY_Type,5
dbo,tProject,5
dbo,tProject_GLAccNo,5
dbo,tProject_Tax,5
dbo,tProjectChargeRate,5
dbo,tSlipStyle,5
dbo,tSYSDownloadFileList,5
dbo,tSYSOutPayMenuAdvance,5
dbo,tTemp_COM1000129521_SYN_01,5
dbo,tTimeInOut_T0xFormat,5
dbo,tBatchAdjust,4
dbo,tBU2,4
dbo,tCardStatus_Type,4
dbo,tSYS_MENU_MOD,4
dbo,sysdiagrams,3
dbo,tAssignMenuPermission,3
dbo,tCalendarYear,3
dbo,tCompany,3
dbo,tCostCenter,3
dbo,tData_PND1_Detail,3
dbo,tEmployeeStatus,3
dbo,tEmployeeStatusGroup,3
dbo,tGender,3
dbo,tLog_Request,3
dbo,tMODBill,3
dbo,tNationality,3
dbo,tPrefix,3
dbo,tPunishmentStyle,3
dbo,tReimType,3
dbo,tSSO_Account,3
dbo,tWorkCalendar,3
service,tAssignMobileFunction,3
customize,tSCC_PaySelectPeriod,2
customize,tSCC_SettingPayAllowance,2
dbo,tCertificationStyle,2
dbo,tControlMOD,2
dbo,tEmployeeType3,2
dbo,tProjectChargeRate_Welfare,2
dbo,tSysSettings,2
dbo,__MigrationHistory,1
dbo,tAppConnector,1
dbo,tAssignWorkCalendar,1
dbo,tAutoGenID,1
dbo,tAward_Type,1
dbo,tBadgeStyle,1
dbo,tBatchLeave,1
dbo,tBatchProbation,1
dbo,tBatchResign,1
dbo,tBillChargeRate,1
dbo,tBU_FieldCaption,1
dbo,tBU3,1
dbo,tBU3_New,1
dbo,tBU4,1
dbo,tBU4_New,1
dbo,tDecoration,1
dbo,tEmployee_FieldCaption,1
dbo,tEmployeeType_FieldCaption,1
dbo,tEmployeeType2,1
dbo,tL0x_FieldCaption,1
dbo,tLog_AssignWCD,1
dbo,tMail_Config,1
dbo,tOther_FieldCaption,1
dbo,tPERFORMANCE_Type,1
dbo,tPreset_Leave,1
dbo,tSetting_Email,1
dbo,tSSO_Data,1
dbo,tSYS_LoadEmployeeDefault,1
dbo,tSYSMODReportList,1
dbo,tTAX_Data,1
dbo,tTemp_COM100005450_SYN_01,1
dbo,tTemp_COM100006556_Incentive,1
dbo,tTemp_COM100009403_SYN_01,1
dbo,tTemp_COM1000114628_SYN_01,1
dbo,tTemp_COM100011613_Incentive,1
dbo,tTemp_COM100011658_SYN_01,1
dbo,tTemp_COM100014629_SYN_01,1
dbo,tTemp_COM133_Incentive,1
dbo,tTemp_DESKTOPCPFG9DI_SYN_01,1
dbo,tTemp_Khemchapasorn_SYN_01,1
dbo,tTemp_PICHA_EmpExport,1
dbo,tTemp_SCCDB01_Incentive,1
dbo,tTemp_Timeinout_01,1
dbo,tTemp_Wanthida_SYN_01,1
dbo,tTemp_webadmin_SYN_01,1
dbo,tTimeCard_HideCol,1
dbo,tTimeInOut_FieldCaption,1
