billing,tInvoice,Subtotal,decimal
billing,tInvoice,Total,decimal
billing,tInvoiceAllowance,Total,decimal
billing,tInvoiceDetail,Total,decimal
billing,tInvoiceProjectCost,Total,decimal
customize,TimeScan_BioStar,MemoTime,nvarchar
customize,tSCC_PayAllowance,Sum_OT1,decimal
customize,tSCC_PayAllowance,Sum_OT1_5,decimal
customize,tSCC_PayAllowance,Sum_OT2,decimal
customize,tSCC_PayAllowance,Sum_OT3,decimal
customize,tSCC_PayAllowance,OT1_Accumulate,decimal
customize,tSCC_PayAllowance,OT1_5_Accumulate,decimal
customize,tSCC_PayAllowance,OT2_Accumulate,decimal
customize,tSCC_PayAllowance,OT3_Accumulate,decimal
customize,tSCC_PayAllowance,PayCOT1_Accumulate,decimal
customize,tSCC_PayAllowance,PayCOT1_5_Accumulate,decimal
customize,tSCC_PayAllowance,PayCOT2_Accumulate,decimal
customize,tSCC_PayAllowance,PayCOT3_Accumulate,decimal
dbo,tAppConnector,IsAutoTransfer,smallint
dbo,tAppConnector_File,IsAutoTransfer,smallint
dbo,tApplication,LangOther,smallint
dbo,tApplication,LangOtherDesc,varchar
dbo,tApplication,OtherSkill,varchar
dbo,tApplication,Photo,image
dbo,tApplication,PhotoFileType,varchar
dbo,tAutoPostSchedule,IsNotWork,smallint
dbo,tAutoPostSchedule,NNotWork,decimal
dbo,tAutoPostSchedule_TRM,IsOT1,smallint
dbo,tAutoPostSchedule_TRM,nOT1UnitStart,decimal
dbo,tAutoPostSchedule_TRM,nOT1UnitEnd,decimal
dbo,tAutoPostSchedule_TRM,IsOT1_5,smallint
dbo,tAutoPostSchedule_TRM,nOT1_5UnitStart,decimal
dbo,tAutoPostSchedule_TRM,nOT1_5UnitEnd,decimal
dbo,tAutoPostSchedule_TRM,IsOT2,smallint
dbo,tAutoPostSchedule_TRM,nOT2UnitStart,decimal
dbo,tAutoPostSchedule_TRM,nOT2UnitEnd,decimal
dbo,tAutoPostSchedule_TRM,IsOT3,smallint
dbo,tAutoPostSchedule_TRM,nOT3UnitStart,decimal
dbo,tAutoPostSchedule_TRM,nOT3UnitEnd,decimal
dbo,tAutoPostSchedule_TRM,IsOTInTime,smallint
dbo,tAutoPostSchedule_TRM,OTTimeInStart,datetime
dbo,tAutoPostSchedule_TRM,OTTimeInEnd,datetime
